AppID,Name,Release date,Developers,Publishers,Price,total_reviews,review_score_percent,Genres,Peak CCU,Estimated owners
1517290,Battlefield™ 2042,"Nov 19, 2021",DICE,Electronic Arts,59.99,297774,46.7421601617334,"Action, Adventure, Casual",2774,10000000 - 20000000
1088850,Marvel's Guardians of the Galaxy,"Oct 26, 2021",Eidos-Montréal,Eidos Interactive Corp.,8.99,39158,94.12380611880076,"Action, Adventure",219,500000 - 1000000
1296830,暖雪 Warm Snow,"Jan 18, 2022",BadMudStudio,bilibili,12.59,37007,93.07428324371064,"Action, Adventure, Indie, RPG",516,1000000 - 2000000
1170950,Mortal Online 2,"Jan 25, 2022",Star Vault AB,Star Vault AB,12.79,12943,60.805068376728734,"Action, Indie, Massively Multiplayer, RPG",440,500000 - 1000000
1353300,Idle Slayer,"Dec 21, 2020",Pablo Leban,Pablo Leban,0.0,8767,85.4112010950154,"Casual, Indie, Strategy, Free To Play",1300,500000 - 1000000
326460,ShellShock Live,"May 22, 2020",kChamp Games,kChamp Games,6.99,34893,93.2565270971255,"Action, Casual, Indie, Massively Multiplayer, Strategy",297,1000000 - 2000000
1384160,GUILTY GEAR -STRIVE-,"Jun 11, 2021",Arc System Works,Arc System Works,19.99,59382,88.20349600889158,Action,2463,1000000 - 2000000
1850570,DEATH STRANDING DIRECTOR'S CUT,"Mar 30, 2022",KOJIMA PRODUCTIONS,505 Games,15.99,39516,92.8661807875291,"Action, Adventure",1604,1000000 - 2000000
1097150,Fall Guys,"Aug 3, 2020",Mediatonic,,0.0,473743,81.30019863090325,"Action, Casual, Indie, Massively Multiplayer, Sports",664,20000000 - 50000000
244850,Space Engineers,"Feb 28, 2019",Keen Software House,Keen Software House,9.99,132347,88.55810860843086,"Action, Indie, Simulation, Strategy",4201,2000000 - 5000000
887570,NEBULOUS: Fleet Command,"Feb 11, 2022",Eridanus Industries,Hooded Horse,14.99,3536,82.43778280542986,"Simulation, Strategy, Early Access",212,200000 - 500000
